Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,27.520000,28.090000,27.450001,27.799999,27.799999,6724300
2020-10-12,27.920000,27.920000,26.930000,27.240000,27.240000,6813300
2020-10-13,27.139999,27.200001,26.325001,26.330000,26.330000,8732100
2020-10-14,26.500000,26.959999,26.159000,26.750000,26.750000,7877200
2020-10-15,26.350000,26.360001,25.530001,25.600000,25.600000,9010500
2020-10-16,25.830000,25.830000,25.209999,25.530001,25.530001,6769800
2020-10-19,25.700001,25.790001,24.600000,24.629999,24.629999,9830200
2020-10-20,24.959999,25.629999,24.545000,25.129999,25.129999,11399000
2020-10-21,24.969999,25.000000,24.170000,24.660000,24.660000,10514100
2020-10-22,24.799999,25.700001,24.700001,25.580000,25.580000,7329600
2020-10-23,25.420000,26.219999,25.070000,26.020000,26.020000,8124600
2020-10-26,25.680000,26.020000,24.680000,24.840000,24.840000,7230200
2020-10-27,24.760000,24.789000,22.889999,22.940001,22.940001,15308000
2020-10-28,22.440001,22.620001,21.340000,22.230000,22.230000,17627600
2020-10-29,22.230000,23.270000,21.910000,22.930000,22.930000,7482600
2020-10-30,22.820000,23.430000,22.400000,22.830000,22.830000,8012800
2020-11-02,23.190001,24.670000,22.900000,24.500000,24.500000,12181700
2020-11-03,24.910000,26.600000,24.860001,26.230000,26.230000,16311400
2020-11-04,31.700001,32.119999,28.309999,29.190001,29.190001,60939000
2020-11-05,29.091000,29.750000,28.719999,29.030001,29.030001,12774700
2020-11-06,28.650000,30.330000,27.930000,29.840000,29.840000,16028400
2020-11-09,35.004002,37.980000,34.959999,37.689999,37.689999,36882200
2020-11-10,36.779999,38.057999,35.889999,36.049999,36.049999,22041700
2020-11-11,37.287998,38.900002,35.860001,36.410000,36.410000,30160800
2020-11-12,35.459999,37.810001,35.430000,36.459999,36.459999,13324300
2020-11-13,36.750000,37.744999,35.970001,37.540001,37.540001,8256600
2020-11-16,39.040001,40.009998,38.709999,39.919998,39.919998,12649100
2020-11-17,38.860001,40.439999,38.720001,39.419998,39.419998,8342900
2020-11-18,39.810001,41.408001,39.520000,39.770000,39.770000,8909500
2020-11-19,39.599998,40.750000,39.119999,40.110001,40.110001,7658400
2020-11-20,40.169998,40.299999,37.730000,38.099998,38.099998,12373000
2020-11-23,38.540001,39.950001,38.439999,39.349998,39.349998,9408300
2020-11-24,40.400002,40.400002,39.180000,39.490002,39.490002,9086200
2020-11-25,39.000000,39.599998,38.200001,39.520000,39.520000,5409700
2020-11-27,39.369999,39.900002,38.770000,39.040001,39.040001,3664800
2020-11-30,38.790001,39.349998,37.630001,38.169998,38.169998,5303100
2020-12-01,39.080002,40.869999,38.730000,39.610001,39.610001,6966000
2020-12-02,39.025002,43.860001,38.200001,43.400002,43.400002,17157800
2020-12-03,43.410000,44.060001,42.400002,43.099998,43.099998,8617000
2020-12-04,43.400002,46.139999,43.400002,46.099998,46.099998,10547900
2020-12-07,47.349998,47.749001,46.029999,46.555000,46.555000,8608200
2020-12-08,46.040001,47.900002,46.040001,46.520000,46.520000,7448800
2020-12-09,47.230000,48.750000,46.230000,47.529999,47.529999,11669100
2020-12-10,46.650002,48.650002,45.810001,48.110001,48.110001,7236600
2020-12-11,48.029999,49.169998,46.430000,46.869999,46.869999,7040700
2020-12-14,47.622002,48.400002,46.630001,46.770000,46.770000,6105900
2020-12-15,46.990002,49.327000,46.970001,49.299999,49.299999,6935700
2020-12-16,49.299999,50.369999,49.299999,49.910000,49.910000,8864800
2020-12-17,49.849998,50.549999,49.095001,49.470001,49.470001,5987300
2020-12-18,49.430000,50.150002,48.549999,49.980000,49.980000,7041400
2020-12-21,48.009998,50.360001,47.645000,49.910000,49.910000,7660200
2020-12-22,50.110001,50.180000,48.930000,49.509998,49.509998,4437700
2020-12-23,49.750000,50.549999,49.520000,50.070000,50.070000,5988100
2020-12-24,50.020000,50.070000,48.689999,48.860001,48.860001,1939700
2020-12-28,49.250000,49.889999,48.369999,49.770000,49.770000,3321400
2020-12-29,49.509998,50.230000,48.740002,49.250000,49.250000,6320200
2020-12-30,49.380001,50.790001,48.860001,50.340000,50.340000,5569900
2020-12-31,50.259998,50.299999,49.049999,49.130001,49.130001,3224100
2021-01-04,49.380001,50.020000,46.509998,47.279999,47.279999,6214700
2021-01-05,47.020000,49.240002,46.599998,48.849998,48.849998,5338100
2021-01-06,48.980000,49.139999,46.919998,47.459999,47.459999,7678800
2021-01-07,48.090000,49.270000,48.090000,48.840000,48.840000,6651100
2021-01-08,48.740002,48.950001,46.840000,47.500000,47.500000,5068300
2021-01-11,46.619999,48.860001,46.060001,48.369999,48.369999,5472200
2021-01-12,48.459999,51.110001,47.490002,50.680000,50.680000,14871300
2021-01-13,50.139999,51.240002,49.139999,49.779999,49.779999,6696400
2021-01-14,50.279999,50.950001,48.209999,48.744999,48.744999,4646600
2021-01-15,48.630001,49.029999,47.544998,47.880001,47.880001,4187600
2021-01-19,48.619999,49.930000,47.810001,48.959999,48.959999,6293000
2021-01-20,49.275002,50.250000,48.529999,48.939999,48.939999,4810000
2021-01-21,49.090000,49.259998,47.900002,48.099998,48.099998,4422400
2021-01-22,47.810001,48.049999,47.009998,47.810001,47.810001,3493400
2021-01-25,47.759998,47.759998,44.110001,47.139999,47.139999,7314400
2021-01-26,47.470001,48.785000,46.759998,46.900002,46.900002,5446500
2021-01-27,45.640999,45.880001,42.939999,43.619999,43.619999,8946400
2021-01-28,44.750000,46.860001,44.330002,46.220001,46.220001,6464700
2021-01-29,45.779999,46.150002,43.660000,44.459999,44.459999,5631200
2021-02-01,45.560001,45.830002,44.750000,45.509998,45.509998,6732600
2021-02-02,46.099998,48.320000,46.099998,47.500000,47.500000,7043300
2021-02-03,47.889999,49.740002,47.209999,49.410000,49.410000,5047200
2021-02-04,49.840000,52.310001,49.549999,51.770000,51.770000,6853200
2021-02-05,52.250000,53.540001,52.139999,53.119999,53.119999,6218000
2021-02-08,53.310001,54.750000,52.599998,53.410000,53.410000,5460000
2021-02-09,52.939999,54.790001,52.700001,53.639999,53.639999,11509000
2021-02-10,58.500000,59.400002,55.259998,56.209999,56.209999,20503900
2021-02-11,55.759998,57.599998,55.400002,57.070000,57.070000,10475000
2021-02-12,56.200001,57.680000,55.299999,57.650002,57.650002,6411500
2021-02-16,58.150002,58.919998,57.380001,58.455002,58.455002,7250300
2021-02-17,57.910000,58.259998,55.759998,58.110001,58.110001,4477700
2021-02-18,57.000000,58.320000,56.450001,57.070000,57.070000,7219000
2021-02-19,57.669998,59.820000,57.509998,58.930000,58.930000,9238000
2021-02-22,58.139999,59.470001,56.700001,56.820000,56.820000,7936000
2021-02-23,55.790001,58.250000,54.540001,57.720001,57.720001,5851700
2021-02-24,57.639999,59.660000,56.689999,59.130001,59.130001,6370900
2021-02-25,59.060001,59.490002,55.110001,55.910000,55.910000,7030300
2021-02-26,55.740002,57.189999,54.860001,55.700001,55.700001,4477400
2021-03-01,56.959999,58.355000,56.639999,57.340000,57.340000,4094700
2021-03-02,57.509998,58.160000,56.720001,57.060001,57.060001,3801700
2021-03-03,59.700001,63.580002,57.980000,61.759998,61.759998,23926500
2021-03-04,61.500000,63.259998,59.439999,61.869999,61.869999,13442500
2021-03-05,63.160000,65.089996,60.980000,64.120003,64.120003,14009300
2021-03-08,65.339996,65.949997,63.779999,64.309998,64.309998,8797700
2021-03-09,65.050003,65.180000,61.759998,62.340000,62.340000,8109300
2021-03-10,62.680000,63.900002,61.134998,61.310001,61.310001,7267000
2021-03-11,62.290001,64.910004,62.199001,62.720001,62.720001,5771500
2021-03-12,62.490002,66.900002,61.730000,66.370003,66.370003,8217900
2021-03-15,66.330002,67.800003,64.870003,67.419998,67.419998,8146200
2021-03-16,67.339996,67.779999,63.939999,64.690002,64.690002,6444600
2021-03-17,64.989998,66.300003,64.235001,65.930000,65.930000,5605300
2021-03-18,66.430000,68.279999,65.519997,66.080002,66.080002,8046800
2021-03-19,65.559998,67.470001,64.230003,66.559998,66.559998,6034200
2021-03-22,66.680000,66.970001,63.959999,64.160004,64.160004,5067200
2021-03-23,63.801998,64.160004,60.860001,61.560001,61.560001,5399100
2021-03-24,62.369999,63.750000,60.889999,60.970001,60.970001,3239300
2021-03-25,59.910000,63.880001,59.540001,63.570000,63.570000,4677100
2021-03-26,64.714996,65.419998,63.349998,64.510002,64.510002,4382500
2021-03-29,64.489998,65.190002,63.450001,63.619999,63.619999,3171800
2021-03-30,63.610001,63.939999,62.330002,63.049999,63.049999,3475500
2021-03-31,62.970001,63.959999,61.410000,63.180000,63.180000,5822100
2021-04-01,63.450001,64.684998,62.070000,64.639999,64.639999,5154600
2021-04-05,65.550003,65.940002,63.549999,64.470001,64.470001,4202300
2021-04-06,64.529999,65.349998,64.120003,64.239998,64.239998,3730500
2021-04-07,63.849998,64.139999,60.790001,60.959999,60.959999,6128900
2021-04-08,61.110001,62.139999,60.520000,62.009998,62.009998,4918700
2021-04-09,61.500000,61.748001,59.709999,60.970001,60.970001,7641200
